message_id,date,user,message,candidate_score,candidate_reason,is_important,type,task,deadline,priority,confidence,evidence
10,2025-04-22 16:36:00,Tushar✨✨️,Bhai 2nd question ke jaise mam ne kuch btaya tha na ki Kab konsa central difference ka formula use karna,3,deadline,True,information,,,medium,0.9,-1/4 to 1/4 me stiring
23,2025-04-22 16:40:00,Tushar✨✨️,Kriti bheji hai grp pe check kar,3,action,True,task,Check the document sent by Kriti in the group,,medium,0.9,Kriti bheji hai grp pe check kar
75,2025-04-27 19:37:00,Tushar✨✨️,4th ka bhi,3,deadline,False,none,,,low,0.7,
112,2025-04-27 19:59:00,Tushar✨✨️,Tu shi karke bhej de,3,action,True,request,Correct the document and send it back,,medium,0.9,Tu shi karke bhej de
116,2025-04-27 19:59:00,gajendra Bhoi Cse,check karke bata,3,action,True,task,Check the document and provide feedback,,medium,0.9,check karke bata
147,2025-05-02 10:19:00,Tushar✨✨️,Tu mujhe u3 and u4 ke sabhi question ke ans bhej dena please,5,"action, request",True,task,Send answers for all questions of u3 and u4,,medium,0.95,Tu mujhe u3 and u4 ke sabhi question ke ans bhej dena please
163,2025-05-04 23:41:00,Tushar✨✨️,Mile toh bhej dena bhai gpt me bahute long hai code,3,action,True,request,Send the code if found from a hostel student,,medium,0.9,Mile toh bhej dena bhai
182,2025-08-13 16:52:00,Tushar✨✨️,Are piyush bta rha DS ki class sir 4:30 ya baje tak bhi le late hai toh mein socha tu class me hoga,3,deadline,False,none,,,low,0.8,
183,2025-08-13 16:52:00,Tushar✨✨️,Smart India Hackathon https://share.google/6aVSc0JmvGngnZcIY,3,action,True,information,,,low,0.85,Waise internal hackathon midem ke baad hi hoga sayad
191,2025-08-17 00:13:00,Tushar✨✨️,bhai ye uppar wla form bhar de please please.Assignment hai.,5,"action, request",True,task,Fill out the assignment form provided in the link,,high,0.95,bhai ye uppar wla form bhar de please please.Assignment hai.
233,2025-08-28 00:58:00,Tushar✨✨️,Kal anushk se mang kar bhej dunga,3,deadline,True,task,Send ADS notes,tomorrow,medium,0.95,Kal anushk se mang kar bhej dunga
249,2025-08-28 17:27:00,Tushar✨✨️,ADS aur dbms bas baki me aaj hi dekhunga,3,deadline,True,information,,,low,0.85,ADS aur dbms bas baki me aaj hi dekhunga
271,2025-09-03 22:10:00,Tushar✨✨️,Try Kiya par pura nhi solve hua,3,action,False,none,,,low,0.9,
272,2025-09-03 22:11:00,Tushar✨✨️,2nd wala que toh Hawa bhi nhi laga,3,deadline,False,none,,,low,0.9,
330,2025-09-10 01:13:00,gajendra Bhoi Cse,aaj mam kya batayi,3,deadline,False,none,,,medium,0.9,
364,2025-09-14 17:20:00,gajendra Bhoi Cse,tu solve kiya hai sab,3,action,False,none,,,low,0.9,
401,2025-09-14 22:51:00,gajendra Bhoi Cse,ye bata de,3,action,False,none,,,low,0.9,
505,2025-11-02 22:44:00,gajendra Bhoi Cse,answer bhej dea,3,action,False,none,,,medium,0.8,
575,2025-11-15 23:39:00,Tushar✨✨️,bhai ye dono question solve kare tho ans bhej dena please <This message was edited>,5,"action, request",True,request,Solve the two questions and send the answers,,medium,0.9,bhai ye dono question solve kare tho ans bhej dena please
579,2025-11-15 23:40:00,gajendra Bhoi Cse,Kal padhunga,3,deadline,False,none,,,medium,0.9,
580,2025-11-15 23:40:00,gajendra Bhoi Cse,Aaj recovery kar rha tah,3,deadline,False,none,,,low,1.0,
596,2025-11-16 13:13:00,Tushar✨✨️,"Bhai dono pdf + anushk ke notes padh. Lekin uske que solve krne ke liye jo concepts use ho rhe vo kaise pta lag rha vo nhi pta kaise solve kar rhe ye. 

EK Baar arun , ya hostel wale me se kisiko puch",3,action,True,task,Ask Arun or someone in the hostel for help with solving query processing questions.,,medium,0.95,"EK Baar arun , ya hostel wale me se kisiko puch"
611,2025-11-16 22:22:00,gajendra Bhoi Cse,pyq ka solution bhej de,3,action,True,request,Send the PYQ solution.,,medium,1.0,pyq ka solution bhej de
642,2025-11-18 00:33:00,gajendra Bhoi Cse,4th me bas itna hi padhne se ho jayega kya,3,deadline,False,none,,,low,0.9,
653,2025-11-18 17:24:00,Tushar✨✨️,bhai abhi clinic aya hu kal cold ho gya tha toh 7 baje karu kya reply please.,5,"request, deadline",True,deadline,Reply to the message at 7 o'clock.,7:00,low,0.95,7 baje karu kya reply
658,2025-11-18 18:43:00,Tushar✨✨️,"pyq solve kare toh u1 and u2 ke 1 and 2 ka ans bhej dena toh.
\",3,action,True,request,"Send answers to unit 1 and unit 2, questions 1 and 2.",,medium,0.95,pyq solve kare toh u1 and u2 ke 1 and 2 ka ans bhej dena toh.
667,2025-11-18 18:48:00,Tushar✨✨️,nhi milta toh send kardung kar rha abhi.,3,action,True,task,Search and send resources for complex topics.,,medium,0.9,nhi milta toh send kardung kar rha abhi.
683,2025-11-19 01:35:00,Tushar✨✨️,koi reference ya video hai toh bhej de toh,3,action,True,request,Send a reference or video link for line segment intersection.,,medium,0.95,koi reference ya video hai toh bhej de toh
693,2025-11-19 03:21:00,Tushar✨✨️,nhi kar rha tabiyat bhi thik nhi aur ab time nhi hai. agar tujhe easly samaj aa jaye khi se toh please vo link bhej dena.,5,"action, request",True,request,Send a link if an easy explanation for a topic is found.,,low,0.9,agar tujhe easly samaj aa jaye khi se toh please vo link bhej dena.
708,2025-11-19 03:27:00,gajendra Bhoi Cse,Kal padhunga,3,deadline,True,information,,tomorrow,low,0.9,Kal padhunga
722,2025-11-29 22:06:00,Tushar✨✨️,Report file + presentation dono chahiye na 1st ko,3,deadline,True,deadline,Submit report file and presentation,1st,high,1.0,Report file + presentation dono chahiye na 1st ko
738,2025-11-29 23:39:00,Tushar✨✨️,Bhai kisi ka report file mile kaise bnaya hai toh bhej dena,3,action,True,request,Send a sample report file,,medium,1.0,Bhai kisi ka report file mile kaise bnaya hai toh bhej dena
809,2026-02-09 22:18:00,Tushar✨✨️,Are sorry bhai aaj tera Birthday hai mein bhul wish bhi nhi kiya,3,deadline,False,none,,,low,1.0,
818,2026-02-09 22:23:00,Tushar✨✨️,Isme numerical solve krne ke baad baki slides padega toh asani se aajayega samaj,3,action,True,information,,,medium,0.9,Isme numerical solve krne ke baad baki slides padega toh asani se aajayega samaj
842,2026-02-09 22:29:00,Tushar✨✨️,Ye anushk ke notes hai baki ka kal mange bhej dunga,3,deadline,True,information,Send remaining notes tomorrow,kal,low,0.9,Ye anushk ke notes hai baki ka kal mange bhej dunga
847,2026-02-09 22:31:00,gajendra Bhoi Cse,kal rat ko,3,deadline,False,none,,,low,0.9,
849,2026-02-09 22:31:00,Tushar✨✨️,"Aaj raat ko degunga, waise kal submit krne bola the sir <This message was edited>",6,"action, deadline",True,deadline,Submit assignment,tomorrow,high,0.95,waise kal submit krne bola the sir
850,2026-02-09 22:32:00,Tushar✨✨️,Baki kal anushk se mangunga,3,deadline,True,task,Ask Anushk for the assignment,tomorrow,medium,0.95,Baki kal anushk se mangunga
859,2026-02-11 16:39:00,Tushar✨✨️,Apne resume ka screenshot share kr skta hai kya agar tujhe problem na ho toh,3,action,True,request,Share resume screenshot,,medium,0.98,Apne resume ka screenshot share kr skta hai kya
